G0-G0 G1-G1 {'weight': 1, 'layer': 1}
G0-G0 G3-G3 {'weight': 1, 'layer': 1}
G0-G0 G9-G9 {'weight': 1, 'layer': 1}
G0-G0 G10-G10 {'weight': 1, 'layer': 1}
G0-G0 G20-G20 {'weight': 1, 'layer': 1}
G0-G0 G28-G28 {'weight': 1, 'layer': 1}
G0-G0 G47-G47 {'weight': 1, 'layer': 1}
G0-G0 G49-G49 {'weight': 1, 'layer': 1}
G0-G0 G57-G57 {'weight': 1, 'layer': 1}
G0-G0 G59-G59 {'weight': 1, 'layer': 1}
G0-G0 G63-G63 {'weight': 1, 'layer': 1}
G0-G0 G65-G65 {'weight': 1, 'layer': 1}
G0-G0 G80-G80 {'weight': 1, 'layer': 1}
G0-G0 G98-G98 {'weight': 1, 'layer': 1}
G0-G0 G130-G130 {'weight': 1, 'layer': 1}
G0-G0 G156-G156 {'weight': 1, 'layer': 1}
G0-G0 G170-G170 {'weight': 1, 'layer': 1}
G0-G0 G178-G178 {'weight': 1, 'layer': 1}
G0-G0 G179-G179 {'weight': 1, 'layer': 1}
G0-G0 G194-G194 {'weight': 1, 'layer': 1}
G0-G0 G208-G208 {'weight': 1, 'layer': 1}
G0-G0 G230-G230 {'weight': 1, 'layer': 1}
G0-G0 G243-G243 {'weight': 1, 'layer': 1}
G0-G0 G288-G288 {'weight': 1, 'layer': 1}
G0-G0 G308-G308 {'weight': 1, 'layer': 1}
G0-G0 G309-G309 {'weight': 1, 'layer': 1}
G0-G0 G311-G311 {'weight': 1, 'layer': 1}
G0-G0 G312-G312 {'weight': 1, 'layer': 1}
G0-G0 G346-G346 {'weight': 1, 'layer': 1}
G0-G0 G374-G374 {'weight': 1, 'layer': 1}
G0-G0 G376-G376 {'weight': 1, 'layer': 1}
G0-G0 G411-G411 {'weight': 1, 'layer': 1}
G0-G0 G434-G434 {'weight': 1, 'layer': 1}
G0-G0 G485-G485 {'weight': 1, 'layer': 1}
G0-G0 G516-G516 {'weight': 1, 'layer': 1}
G0-G0 G543-G543 {'weight': 1, 'layer': 1}
G0-G0 G609-G609 {'weight': 1, 'layer': 1}
G0-G0 G638-G638 {'weight': 1, 'layer': 1}
G0-G0 G646-G646 {'weight': 1, 'layer': 1}
G0-G0 G739-G739 {'weight': 1, 'layer': 1}
G0-G0 G744-G744 {'weight': 1, 'layer': 1}
G0-G0 G746-G746 {'weight': 1, 'layer': 1}
G0-G0 G753-G753 {'weight': 1, 'layer': 1}
G0-G0 G770-G770 {'weight': 1, 'layer': 1}
G0-G0 G793-G793 {'weight': 1, 'layer': 1}
G0-G0 G798-G798 {'weight': 1, 'layer': 1}
G0-G0 G858-G858 {'weight': 1, 'layer': 1}
G0-G0 G887-G887 {'weight': 1, 'layer': 1}
G0-G0 G889-G889 {'weight': 1, 'layer': 1}
G0-G0 G943-G943 {'weight': 1, 'layer': 1}
G0-G0 G951-G951 {'weight': 1, 'layer': 1}
G0-G0 H500-H500 {'weight': 0.9, 'layer': 3}
G0-G0 H627-H627 {'weight': 0.9, 'layer': 3}
G1-G1 G2-G2 {'weight': 1, 'layer': 1}
G1-G1 G6-G6 {'weight': 1, 'layer': 1}
G1-G1 G15-G15 {'weight': 1, 'layer': 1}
G1-G1 G21-G21 {'weight': 1, 'layer': 1}
G1-G1 G23-G23 {'weight': 1, 'layer': 1}
G1-G1 G25-G25 {'weight': 1, 'layer': 1}
G1-G1 G26-G26 {'weight': 1, 'layer': 1}
G1-G1 G31-G31 {'weight': 1, 'layer': 1}
G1-G1 G62-G62 {'weight': 1, 'layer': 1}
G1-G1 G70-G70 {'weight': 1, 'layer': 1}
G1-G1 G81-G81 {'weight': 1, 'layer': 1}
G1-G1 G86-G86 {'weight': 1, 'layer': 1}
G1-G1 G87-G87 {'weight': 1, 'layer': 1}
G1-G1 G126-G126 {'weight': 1, 'layer': 1}
G1-G1 G128-G128 {'weight': 1, 'layer': 1}
G1-G1 G129-G129 {'weight': 1, 'layer': 1}
G1-G1 G147-G147 {'weight': 1, 'layer': 1}
G1-G1 G171-G171 {'weight': 1, 'layer': 1}
G1-G1 G183-G183 {'weight': 1, 'layer': 1}
G1-G1 G205-G205 {'weight': 1, 'layer': 1}
G1-G1 G229-G229 {'weight': 1, 'layer': 1}
G1-G1 G250-G250 {'weight': 1, 'layer': 1}
G1-G1 G300-G300 {'weight': 1, 'layer': 1}
G1-G1 G314-G314 {'weight': 1, 'layer': 1}
G1-G1 G355-G355 {'weight': 1, 'layer': 1}
G1-G1 G384-G384 {'weight': 1, 'layer': 1}
G1-G1 G395-G395 {'weight': 1, 'layer': 1}
G1-G1 G431-G431 {'weight': 1, 'layer': 1}
